r2_score_train_0,r2_score_test_0,r2_score_train_1,r2_score_test_1,r2_score_train_2,r2_score_test_2
0.5441646361494159,0.3251257742667313,,,,
,,0.6382076765813611,0.642915338347726,,
,,,,0.5892590182591451,0.4989336124551736
0.5113660636961983,0.375153298076166,,,,
,,0.6458977816321574,0.6150310403044701,,
,,,,0.584052900014441,0.5073405126255455
0.5438220764487938,0.2275828055977595,,,,
,,0.5890067812960388,0.7356627606950542,,
,,,,0.5972406156276053,0.4442417177667089
0.4934640921858229,0.5454994613624602,,,,
,,0.6541221724094193,0.5874167605619631,,
,,,,0.6048874627239234,0.4178144627706321
0.4883178475527834,0.5545320283147765,,,,
,,0.6238506737409011,0.6619707992829538,,
,,,,0.5897668333124735,0.5101464286098369
0.5070225529204307,0.4206586817726699,,,,
,,0.6795618430997752,0.5125300172082577,,
,,,,0.5891868144274227,0.5171767953429482
0.5123486524829086,0.4088497947511261,,,,
,,0.6348991432297608,0.6579706785109267,,
,,,,0.598675525618843,0.4528389115715004
0.485010992159141,0.5688741102121333,,,,
,,0.6291711008219137,0.6799235778801781,,
,,,,0.5980711244229733,0.4836048509843863
0.4898126067575977,0.5189668185392997,,,,
,,0.6466112623131617,0.5978855806515282,,
,,,,0.590334933231419,0.5027911614292515
0.5282368696749402,0.3949757163014714,,,,
,,0.6661781087318054,0.5193933621692466,,
,,,,0.5704169583706479,0.5788263271636694
0.5559527761650991,0.3744792337217086,,,,
,,0.604906558418105,0.6870697716742202,,
,,,,0.5676541644688438,0.6291760234571961
0.539049891361479,0.2457955105477024,,,,
,,0.6265474696930878,0.6981082322477021,,
,,,,0.5649657371540849,0.5713866867867347
0.5082198949869681,0.4498190369247904,,,,
,,0.6655990269274025,0.4984419121845714,,
,,,,0.5857349986101541,0.5261503727130521
0.5152497404668517,0.4100428747700788,,,,
,,0.6428841989850689,0.6237659759845962,,
,,,,0.5477670056181148,0.6897226636792039
0.509047069520421,0.4405618033065254,,,,
,,0.6354387369152705,0.6701962681504587,,
,,,,0.5781104163896742,0.5607353036927221
0.5022860589578728,0.4766938282239624,,,,
,,0.6438584931641587,0.6070746833662592,,
,,,,0.5691203248556228,0.6284939893053867
0.5289742532566025,0.3393693748348946,,,,
,,0.6390072463022669,0.6308753743977216,,
,,,,0.6235266775638232,0.3690909483931857
0.5383789458065167,0.2428808505523833,,,,
,,0.6369400946517265,0.6273771726443262,,
,,,,0.6000933935637892,0.2884365460644461
0.479638127947842,0.5336096814122238,,,,
,,0.632909375299576,0.6639454050390077,,
,,,,0.5980027507871022,0.4404822992837388
0.5089213373189742,0.4451621152503123,,,,
,,0.6300246981195692,0.6413158416204554,,
,,,,0.5721622781156522,0.5812659829129665
0.5014782838584049,0.4882984584789084,,,,
,,0.6618927885470635,0.4893587619353257,,
,,,,0.5732201889254301,0.566405860640516
0.5019775144246216,0.4868493666354159,,,,
,,0.615415252560263,0.7276529099038358,,
,,,,0.5955449535690742,0.5175090411465346
0.4890019170651382,0.5333236221073313,,,,
,,0.6786397597636514,0.4936247063682847,,
,,,,0.6142892690057855,0.4545492754307095
0.496070789140233,0.4709379703217734,,,,
,,0.6451729250975553,0.6130430320131705,,
,,,,0.5559160524953854,0.623877458063452
0.4927225312525227,0.5627748877306566,,,,
,,0.6658704666021138,0.4558232291026537,,
,,,,0.5626528157135425,0.6281946745769875
0.5099180654439426,0.429962233388137,,,,
,,0.6813864819764823,0.2726899450805269,,
,,,,0.577201916979243,0.5500374706548785
0.5177642257062907,0.4307118484024479,,,,
,,0.6720759368994543,0.3337184458159733,,
,,,,0.5840319961250255,0.5223226804173777
0.5153054532571417,0.406921150352546,,,,
,,0.6075926269602065,0.7230425502194577,,
,,,,0.5530621236548889,0.6423163342195297
0.5098156357857495,0.4528291606795918,,,,
,,0.6434913441860384,0.6157567542497182,,
,,,,0.5678441076993486,0.5782064763025232
0.4969844599009754,0.5179101083019135,,,,
,,0.6115924395854982,0.7392015452033651,,
,,,,0.590378259099557,0.5011072756913155
0.5214959887301112,0.4339524207918572,,,,
,,0.6631700531206459,0.4704905215985913,,
,,,,0.5555105753676692,0.6707138451177566
0.4851053576729142,0.5618854282223325,,,,
,,0.6566288607996266,0.561266454079496,,
,,,,0.6184507401253656,0.2029185723216479
0.5337988286215236,0.3047739637234102,,,,
,,0.6464203651587724,0.6057804838114886,,
,,,,0.5573787114849258,0.6240647949939202
0.5010304783542475,0.4979083177059046,,,,
,,0.6289790320465909,0.699045126099582,,
,,,,0.5633876539843465,0.6035217370936576
0.5082196122684801,0.4652929214796705,,,,
,,0.6599354636571901,0.5514953011173163,,
,,,,0.5711922593589276,0.4933246172387305
0.4906267908975014,0.5094314861362427,,,,
,,0.6700401828043957,0.4849105085808397,,
,,,,0.5757110558119651,0.5563956095567749
0.5084802036555844,0.4003877378261514,,,,
,,0.6196879023143252,0.6988797562657019,,
,,,,0.5407517481237998,0.5597523455456501
0.5055786225324304,0.4647441348522854,,,,
,,0.6276464331559786,0.6741409162186469,,
,,,,0.6005911798043075,0.461546147846947
0.5125079632043755,0.4522646379242437,,,,
,,0.669822683540253,0.4223692620365707,,
,,,,0.5452242460425034,0.6679385299670528
0.5056604074675403,0.4449625741072492,,,,
,,0.6391065911454237,0.6450844811452411,,
,,,,0.5719871242612502,0.5551951939705881
0.5123918013939872,0.4183785447572982,,,,
,,0.6814150482964889,0.50520946836821,,
,,,,0.62408217507305,0.0913382935894147
0.5152195829564963,0.4388129143642516,,,,
,,0.6348222492638889,0.6488504651414508,,
,,,,0.6214781348246587,0.3602285152563405
0.4780619568643564,0.5647104537554541,,,,
,,0.6267279634772481,0.6567422009324178,,
,,,,0.5923141142816869,0.4917382296405007
0.5286765238182427,0.3102128280496836,,,,
,,0.6829532978467656,0.4424863099080408,,
,,,,0.5954473611978747,0.4681525571188386
0.4957011048472758,0.542420628769873,,,,
,,0.6344446309453667,0.6553073501413327,,
,,,,0.5894261450938284,0.493587323828176
0.5045535895951121,0.4871385190834606,,,,
,,0.6202979281601888,0.6974644651004096,,
,,,,0.5823448352512033,0.5510415597492734
0.501646996143993,0.477049766659765,,,,
,,0.6637708654163813,0.5561283969060656,,
,,,,0.5655642057570018,0.63819265489147
0.5045786880701242,0.4734965860460075,,,,
,,0.6135066855792338,0.7714715664848794,,
,,,,0.5786120832326866,0.5654975325372555
0.5295227065476025,0.3793571973596681,,,,
,,0.6158082151618189,0.7600164698729037,,
,,,,0.5943320962484999,0.4287370961789541
0.5148893035896662,0.4241963487271326,,,,
,,0.6626018823020698,0.4843226936638889,,
,,,,0.596724930382653,0.4789474813245294
0.4924494589845375,0.4575963994970117,,,,
,,0.6537859105943403,0.5059851043974577,,
,,,,0.6153235060310135,0.392986351029789
0.5117372161225833,0.3925377358577778,,,,
,,0.6605337737821313,0.4056354809063429,,
,,,,0.6258628586626986,0.180725695327753
0.5056362119355584,0.4845033638264393,,,,
,,0.6730147526217323,0.4385352453596582,,
,,,,0.5563438864635424,0.6242906923070213
0.5018558073336813,0.5077104913391395,,,,
,,0.6686370905021483,0.5122396546689127,,
,,,,0.6071213381287228,0.4170964803802922
0.4891384120488719,0.5133769485613534,,,,
,,0.6622956998867253,0.4953770510261082,,
,,,,0.5674676289088223,0.5975977338032685
0.5258619968573368,0.3821950649483893,,,,
,,0.6166462156249829,0.72284490893222,,
,,,,0.5846759931611119,0.4997503990352971
0.5298257571696025,0.3001994558588003,,,,
,,0.6397358266045701,0.6329305805059231,,
,,,,0.5787967860696841,0.5701713606712719
0.4857823419148713,0.5298576182080338,,,,
,,0.6643884648102226,0.392140095743571,,
,,,,0.5816881293941056,0.5215933703907971
0.5427935369617776,0.3727253065108695,,,,
,,0.6437285706654998,0.5981597799792246,,
,,,,0.5947416553035569,0.4970139775528072
0.5261617366119669,0.3919775223236681,,,,
,,0.6367794791513028,0.6446160429293848,,
,,,,0.5739759064545202,0.5757418262810463
0.5137570653058223,0.4085893316209177,,,,
,,0.6611393757119505,0.5042672838403808,,
,,,,0.5837192245232836,0.5447822528668362
0.4844478425164599,0.5324063399142156,,,,
,,0.6522429271174228,0.5911522339167223,,
,,,,0.5746154871677571,0.5428665601220051
0.5631448681299082,0.1582357870234606,,,,
,,0.6204585195004813,0.7079332847481816,,
,,,,0.53911822541721,0.6926430498272518
0.4976577096551412,0.4846235084605164,,,,
,,0.6280940723335502,0.7037907353527206,,
,,,,0.607296043622509,0.4426772912196054
0.5081992015641754,0.458346586935743,,,,
,,0.6491229344332214,0.5818996665268263,,
,,,,0.6169484040887048,0.4585878611745075
0.5229070635355304,0.4248695946144867,,,,
,,0.6545668007812264,0.5647165326141077,,
,,,,0.6004600804510378,0.4874117833005094
0.4807787931559755,0.5481142223331839,,,,
,,0.675999125391862,0.4494514778003468,,
,,,,0.6081661694778531,0.4441558167182852
0.5031421212805691,0.4966353390142995,,,,
,,0.6416853898779518,0.6234999318821097,,
,,,,0.5714714223462996,0.5793965606521998
0.5488916750344038,0.3490951837277154,,,,
,,0.6597029612082154,0.5331824156974796,,
,,,,0.5708813788446152,0.5884869488381916
0.4898176216629546,0.5179222907972023,,,,
,,0.62080905348383,0.6861398920678661,,
,,,,0.5598623787980544,0.6105122419604314
0.5048653517544839,0.4688359285281768,,,,
,,0.683356682913226,0.4766409045797334,,
,,,,0.5538480996684227,0.6645975618443279
0.5334816033896632,0.3711936468880689,,,,
,,0.6329801632271692,0.6696921018563304,,
,,,,0.5578270881135673,0.6447596204375354
0.5190554948048502,0.4068000051553776,,,,
