r2_score_train_1,r2_score_test_1,r2_score_train_0,r2_score_test_0,r2_score_train_2,r2_score_test_2
0.5436632413249748,0.251925558590823,,,,
,,0.6849011929898206,0.5268453711352508,,
,,,,0.6666149869726079,-0.001452251431413032
0.576039669627567,0.16017511009321705,,,,
,,0.6878919827696026,0.5149927689347622,,
,,,,0.6100051723226907,0.2879367117986683
0.5124452137779695,0.48664802042500477,,,,
,,0.6929411201490372,0.511695487662889,,
,,,,0.6553211848480667,0.11531125072612058
0.5355471953150897,0.2999133584850078,,,,
,,0.7168484837058969,0.21239256896839342,,
,,,,0.583915232346643,0.4351357099883866
0.5301168580232254,0.3618461320414389,,,,
,,0.7046216120089616,0.13262101467282905,,
,,,,0.6413123571609477,0.013263114850145086
0.5620123178132854,0.25256201651678,,,,
,,0.7247888126718687,0.3532967749656214,,
,,,,0.6341164733231441,0.16763049001963448
0.5301448503346574,0.3033625084478633,,,,
,,0.6780250933198171,0.47657372270155585,,
,,,,0.6380760104256086,0.08048468691663258
0.5381511645650663,0.31523607184825586,,,,
,,0.6949662774826075,0.5373854256780417,,
,,,,0.6441883309476588,0.1883952134924859
0.5256324173809578,0.36021891097727476,,,,
,,0.6958316740299502,0.4263144767991015,,
,,,,0.6177179249722939,0.3005805822826749
0.5253117396889748,0.3336680277488119,,,,
,,0.6807214326517654,0.5459484974457923,,
,,,,0.6101502810588242,0.30370140452192707
0.5371438237251458,0.32180421851354823,,,,
,,0.6979240593952581,0.5441727180869266,,
,,,,0.614300457629426,0.2899382232627308
0.5519109066304403,0.2957050623276982,,,,
,,0.7127946773685967,0.2610295489278611,,
,,,,0.6779536118652678,0.03607670098658533
0.5478482751225766,0.29623081076421265,,,,
,,0.7277805820942639,0.43787544675487766,,
,,,,0.6805971273312477,0.0876205178954893
0.5398219939855018,0.22871509775760124,,,,
,,0.7185183033878173,0.4104553339863837,,
,,,,0.6042435919713071,0.3401205531434546
0.5285106719157276,0.34914359599225675,,,,
,,0.694114461180455,0.5097913713800419,,
,,,,0.6190737354754071,0.22008161459511266
0.5546875017745441,0.0545509319908164,,,,
,,0.7051282726456565,0.5289039481222537,,
,,,,0.6068868623849646,0.32565201234200136
0.5306307232859486,0.32429090565921603,,,,
,,0.7111002096604853,0.525165856617122,,
,,,,0.570905248005042,0.5034281839845889
0.5283220299925857,0.3883222421630239,,,,
,,0.6776209824423309,0.5712559018061244,,
,,,,0.6217749359445641,0.2080260203150548
0.5257166031712139,0.39135930961943577,,,,
,,0.6964840140514248,0.5155147684068122,,
,,,,0.5926421782507469,0.4013032322616644
0.5744166792421841,0.2188151097593718,,,,
,,0.697913129757678,0.472867955467703,,
,,,,0.6043026300180683,0.1756388277255575
0.5396879280309512,0.3312873559758388,,,,
,,0.715490542668156,0.43596563310555525,,
,,,,0.5860269636659208,0.388568799643625
0.5315568101726809,0.3040818629900114,,,,
,,0.6836107780124416,0.595394835405944,,
,,,,0.6126978477978168,0.28551435849648044
0.5474654372274683,0.23680821431524146,,,,
,,0.7221001819114964,0.2982024327716918,,
,,,,0.6319627240948412,0.2270001160120425
0.5481903664878789,0.22636709833132285,,,,
,,0.6962617323523976,0.4756794332047395,,
,,,,0.6149178156768715,0.25406480353427285
0.5600308714549002,0.22745600619665707,,,,
,,0.6719858444988706,0.6191371406218276,,
,,,,0.6558557532099895,0.225063398538502
0.5214290292213182,0.4327896252418989,,,,
,,0.6895396997107377,0.44909146105286835,,
,,,,0.620487327976152,0.19662767846419393
0.5263261560081438,0.37732281709487947,,,,
,,0.7088166520592853,0.39196039839551733,,
,,,,0.6192060448502168,0.22418493717821653
0.5623042988158893,0.28616457963828235,,,,
,,0.7032879828943643,0.5137349979857369,,
,,,,0.6061537436197739,0.2920514847708465
0.5806968972289981,0.1929340941881118,,,,
,,0.6788420007493277,0.5717613123071605,,
,,,,0.5972709888511378,0.33601111060171396
0.5060622262640952,0.4667333621759252,,,,
,,0.6862378262689373,0.517812545207283,,
,,,,0.6101955603407803,0.3052801241564054
0.5481134534066605,0.0838403248537869,,,,
,,0.7225449771624186,0.5010915533493641,,
,,,,0.6149826116021756,0.22938488284838143
0.5785447527086848,0.1517040168724414,,,,
,,0.6900687870898454,0.5253570054180983,,
,,,,0.5843414272400353,0.412560644179801
0.5302132546825448,0.3429919800765301,,,,
,,0.7218959185045538,0.333955760811505,,
,,,,0.5892705343574027,0.3594177023322904
0.5459826287552391,0.3196552245772183,,,,
,,0.7161247059518354,0.4571041748542911,,
,,,,0.5815872301208821,0.3705820552268948
0.5562356830338547,0.039970172485466304,,,,
,,0.6820861150430964,0.5593910365424956,,
,,,,0.6043473016812106,0.36460785795118245
0.5068410387847175,0.47142507953786883,,,,
,,0.6947235459695822,0.2509393299091247,,
,,,,0.6388669704691464,0.017075389176873013
0.5331340053245752,0.2678566019010461,,,,
,,0.695030547371305,0.5620484900202262,,
,,,,0.6098816072312756,0.31611826421888
0.5318412986668914,0.3169425053040924,,,,
,,0.6983803895997258,0.4453598358908014,,
,,,,0.5947899312551723,0.39212501626955876
0.5306990486025027,0.38924036316142385,,,,
,,0.7048191514663544,0.5142853592785958,,
,,,,0.628999705720743,0.20691254630154776
0.5203176562390908,0.43250855074547756,,,,
,,0.6719881290752288,0.6434361363494678,,
,,,,0.6516421017468932,0.021109928494822183
0.5728137003953462,0.21331553181382867,,,,
,,0.696981043216947,0.4906969483148884,,
,,,,0.6084248774699813,0.13090975663094828
0.5396056841279594,0.20507510501021609,,,,
,,0.7027438329755309,0.4868237467428038,,
,,,,0.6220712344576351,0.22870119013966472
0.5527327979210397,0.2886657770279808,,,,
,,0.7227977998070354,0.11867030241921284,,
,,,,0.6446115491059772,0.14222676888138597
0.5689685715786852,0.11618590141601237,,,,
,,0.7360234184774135,0.2844481124580054,,
,,,,0.6462484867559799,0.20650627280686928
0.5564472018991568,-0.05672942581935647,,,,
,,0.6931820255939811,0.499974387086892,,
,,,,0.5936283753803623,0.3986574422971114
0.5394915710735264,0.21278451820791677,,,,
,,0.6960400024637228,0.5729506274034482,,
,,,,0.6046711894547316,0.33889446135825774
0.5279705430675812,0.37691013096495574,,,,
,,0.7036275221271302,0.5050021014932478,,
,,,,0.6411745642674807,0.1255599673715091
0.5137458032866096,0.46140219853079567,,,,
,,0.6830842355813944,0.5797806256288531,,
,,,,0.5651362413083554,0.47635344404233015
0.5692552855776649,0.19749783064234872,,,,
,,0.7130339422167751,0.4268370582897799,,
,,,,0.6015286753732123,0.20741305788726694
0.5152095523315106,0.4428873076690266,,,,
,,0.6409138936161731,0.7412187923226015,,
